tag,search_terms,notes
advanced power sources,['advanced power sources'],closest match: distributed energy resources (score: 0.5320)
advanced sensing,['advanced sensing'],closest match: sensors (score: 0.5664)
aflatoxin detection,['aflatoxin detection'],closest match: allergy testing (score: 0.4965)
agricultural forecasting,['agricultural forecasting'],closest match: weather forecasting (score: 0.6151)
agricultural productivity,['agricultural productivity'],closest match: agricultural forecasting (score: 0.5568)
agricultural robotics,['agricultural robotics'],closest match: agricultural forecasting (score: 0.6129)
agricultural technology,['agricultural technology'],closest match: agricultural robotics (score: 0.7493)
agriculture,['agriculture'],closest match: agricultural technology (score: 0.6278)
agritech,['agritech'],closest match: agricultural technology (score: 0.6376)
agro-input efficiency,['agro-input efficiency'],closest match: agricultural productivity (score: 0.6606)
agroecology,['agroecology'],closest match: sustainable agriculture (score: 0.6625)
agroforestry,['agroforestry'],closest match: agroecology (score: 0.7509)
agronomy services,['agronomy services'],closest match: agricultural forecasting (score: 0.5994)
ai applications in health,['ai applications in health'],closest match: health technology (score: 0.5668)
ai diagnostics,['ai diagnostics'],closest match: rapid diagnostic testing (score: 0.6379)
ai health analytics,['ai health analytics'],closest match: ai applications in health (score: 0.6528)
ai health screening,"['ai health screening', 'health screening']",closest match: ai health analytics (score: 0.7342)
ai in agriculture,['ai in agriculture'],closest match: agriculture (score: 0.6540)
ai in health,['ai in health'],closest match: ai health screening (score: 0.6451)
ai in health emergencies,['ai in health emergencies'],closest match: ai in health (score: 0.7041)
ai-powered health tools,['ai-powered health tools'],closest match: ai health analytics (score: 0.6245)
ai-powered solutions,['ai-powered solutions'],closest match: ai-powered health tools (score: 0.7085)
air and water quality,['air and water quality'],closest match: water quality (score: 0.7510)
air quality improvement,['air quality improvement'],closest match: air quality solutions (score: 0.7828)
air quality regulation,['air quality regulation'],closest match: air pollution control (score: 0.7466)
air temperature regulation,['air temperature regulation'],closest match: temperature regulation (score: 0.7734)
air-to-water dispenser,['air-to-water dispenser'],closest match: water supply (score: 0.5974)
airborne bacteria removal,['airborne bacteria removal'],closest match: airborne pathogens (score: 0.7465)
airborne contaminant control,"['airborne contaminant control', 'airborne pathogen control']",closest match: airborne bacteria removal (score: 0.7620)
airborne disease monitoring,['airborne disease monitoring'],closest match: airborne infectious diseases (score: 0.7325)
airborne virus control,"['airborne virus control', 'airborne virus inactivation', 'airborne virus mitigation']",closest match: airborne contaminant control (score: 0.7829)
airborne vocs,['airborne vocs'],closest match: airborne pathogens (score: 0.6682)
airway diseases,"['airway diseases', 'airway inflammatory disorders']",closest match: respiratory diseases (score: 0.6938)
allergen detection,['allergen detection'],closest match: allergy diagnosis (score: 0.7466)
altitude sickness,['altitude sickness'],closest match: heat-related illness (score: 0.4066)
anaphylaxis,['anaphylaxis'],closest match: food allergies (score: 0.5720)
animal disease,['animal disease'],closest match: infectious disease (score: 0.5852)
animal health,['animal health'],closest match: animal disease (score: 0.7770)
animal studies,['animal studies'],closest match: clinical studies (score: 0.6572)
animal welfare,['animal welfare'],closest match: animal health (score: 0.7171)
antibacterial activity,['antibacterial activity'],closest match: antibiotic resistance (score: 0.6292)
antibiotics,['antibiotics'],closest match: antibiotic resistance (score: 0.6792)
antibody-drug conjugates,['antibody-drug conjugates'],closest match: antibody therapies (score: 0.6522)
antimicrobial coatings,['antimicrobial coatings'],closest match: antimicrobial materials (score: 0.7726)
antimicrobial stewardship,['antimicrobial stewardship'],closest match: antimicrobial resistance (score: 0.6349)
antimicrobial susceptibility testing,['antimicrobial susceptibility testing'],closest match: antimicrobial resistance (score: 0.6930)
antimicrobial therapies,['antimicrobial therapies'],closest match: antimicrobial solutions (score: 0.7556)
antiviral face masks,['antiviral face masks'],closest match: antiviral therapeutics (score: 0.6517)
anxiety relief,['anxiety relief'],closest match: stress relief (score: 0.6921)
aromatherapy,['aromatherapy'],closest match: ocean therapy (score: 0.4835)
aseptic cell culture,['aseptic cell culture'],closest match: sepsis diagnostic (score: 0.5630)
asset tracking,['asset tracking'],closest match: air quality tracking (score: 0.4718)
atmospheric data,['atmospheric data'],closest match: weather data (score: 0.6771)
automated immunodiagnostics,['automated immunodiagnostics'],closest match: immunodiagnostics (score: 0.7732)
automated testing,['automated testing'],closest match: automated pest management (score: 0.5963)
bacterial infections,['bacterial infections'],closest match: viral infections (score: 0.6655)
ballast water management,['ballast water management'],closest match: water system management (score: 0.6378)
battery safety,['battery safety'],closest match: battery materials (score: 0.7188)
behavioral health,['behavioral health'],closest match: mental health (score: 0.6447)
behavioral health technology,['behavioral health technology'],closest match: behavioral health (score: 0.7808)
biocide,['biocide'],closest match: biopesticides (score: 0.5315)
biodiversity credits,['biodiversity credits'],closest match: biodiversity conservation (score: 0.6841)
bioenergy,['bioenergy'],closest match: bio-based fuels (score: 0.7182)
biofilm inhibition,['biofilm inhibition'],closest match: antimicrobial coatings (score: 0.5413)
biofungicides,['biofungicides'],closest match: biopesticides (score: 0.7859)
biological capital,['biological capital'],closest match: biodiversity credits (score: 0.4989)
biological computer,['biological computer'],closest match: biological capital (score: 0.5406)
biological data analysis,"['biological data analysis', 'biological sample analysis']",closest match: biological computer (score: 0.6067)
biological monitoring,['biological monitoring'],closest match: biometric monitoring (score: 0.7153)
biological risks,"['biological risks', 'biological threats']",closest match: health risks (score: 0.6888)
biological threat detection,"['biological threat detection', 'biological threats detection', 'biothreat detection']",closest match: biodefense threats (score: 0.7034)
biological treatment,['biological treatment'],closest match: biological monitoring (score: 0.6548)
biomarker analysis,"['biomarker analysis', 'biomarker detection', 'biomarker discovery', 'biomarker quantification']",closest match: biological data analysis (score: 0.7158)
biomarkers,['biomarkers'],closest match: biomarker analysis (score: 0.7973)
biomedical innovation,['biomedical innovation'],closest match: health innovation (score: 0.7257)
biomedical research,['biomedical research'],closest match: biomedical innovation (score: 0.7586)
biomedical sensing,['biomedical sensing'],closest match: biosensors (score: 0.7246)
biomimetic antivirals,['biomimetic antivirals'],closest match: antiviral therapeutics (score: 0.7060)
bioproducts,['bioproducts'],closest match: health products (score: 0.6119)
biosafety,['biosafety'],closest match: environmental safety (score: 0.6367)
biosecurity,"['biosecurity', 'biosecurity intelligence']",closest match: biosafety (score: 0.7825)
blockchain,['blockchain'],closest match: asset tracking (score: 0.3409)
blood flow monitoring,['blood flow monitoring'],closest match: biological monitoring (score: 0.5640)
blood oxygen monitoring,"['blood oxygen monitoring', 'oxygenation monitoring']",closest match: blood flow monitoring (score: 0.7360)
blood pressure monitoring,['blood pressure monitoring'],closest match: blood flow monitoring (score: 0.7904)
bloodstream infections,['bloodstream infections'],closest match: blood flow monitoring (score: 0.4506)
body temperature,"['body temperature', 'body temperature regulation']",closest match: thermal regulation (score: 0.6608)
botanical extracts,['botanical extracts'],closest match: allergy extracts (score: 0.6262)
brain function monitoring,['brain function monitoring'],closest match: real-time monitoring (score: 0.5911)
brain injury,['brain injury'],closest match: trauma (score: 0.5698)
breath analysis,['breath analysis'],closest match: breathwork (score: 0.7067)
breathing monitoring,"['breathing monitoring', 'respiratory monitoring']",closest match: blood oxygen monitoring (score: 0.7237)
breathing stimulant,['breathing stimulant'],closest match: breathing exercises (score: 0.6137)
broad-spectrum antimicrobials,['broad-spectrum antimicrobials'],closest match: antimicrobial therapies (score: 0.6293)
bronchopulmonary dysplasia,['bronchopulmonary dysplasia'],closest match: pulmonary hypertension (score: 0.5467)
bronchoscopic interventions,['bronchoscopic interventions'],closest match: airway diseases (score: 0.5037)
building electrification,['building electrification'],closest match: energy infrastructure (score: 0.5684)
building energy management,['building energy management'],closest match: energy management (score: 0.7785)
building envelopes,['building envelopes'],closest match: building envelope airtightness (score: 0.7407)
built environments,['built environments'],closest match: building envelopes (score: 0.6508)
cancer immunotherapy,['cancer immunotherapy'],closest match: immunotherapy (score: 0.7861)
cancer treatment,['cancer treatment'],closest match: cancer immunotherapy (score: 0.7546)
cancer vaccines,"['cancer vaccines', 'oncology vaccines']",closest match: cancer immunotherapy (score: 0.7677)
cannabinoids,['cannabinoids'],closest match: anti-inflammatory agents (score: 0.4623)
capacity building,['capacity building'],closest match: resilience building (score: 0.5650)
carbohydrate drug design,['carbohydrate drug design'],closest match: antiviral drug discovery (score: 0.5006)
carbon credits,['carbon credits'],closest match: carbon emissions (score: 0.7338)
carbon emissions tracking,['carbon emissions tracking'],closest match: carbon emissions (score: 0.7521)
carbon management,['carbon management'],closest match: carbon reduction (score: 0.7517)
carbon market,['carbon market'],closest match: carbon management (score: 0.6887)
carbon material water treatment,['carbon material water treatment'],closest match: chemical-free water treatment (score: 0.6620)
carbon mitigation,['carbon mitigation'],closest match: carbon management (score: 0.7879)
carbon neutral economy,['carbon neutral economy'],closest match: carbon-negative footprint (score: 0.6922)
carbon offset,['carbon offset'],closest match: carbon mitigation (score: 0.6903)
carbon sequestration,"['carbon sequestration', 'carbon sequestration materials']",closest match: carbon dioxide capture (score: 0.7152)
carbon stock,['carbon stock'],closest match: carbon credits (score: 0.7597)
carbon trading,['carbon trading'],closest match: carbon management (score: 0.7890)
cardiac disease,['cardiac disease'],closest match: chronic disease (score: 0.5349)
cardiopulmonary care,['cardiopulmonary care'],closest match: primary care (score: 0.5445)
cardiopulmonary monitoring,['cardiopulmonary monitoring'],closest match: cardiopulmonary care (score: 0.7256)
cardiorespiratory assessment,['cardiorespiratory assessment'],closest match: cardiopulmonary care (score: 0.6069)
care coordination,['care coordination'],closest match: culturally sensitive care (score: 0.5617)
case management,['case management'],closest match: care coordination (score: 0.5030)
catastrophe insurance,['catastrophe insurance'],closest match: catastrophe response (score: 0.7178)
cell therapeutics,['cell therapeutics'],closest match: immunotherapies (score: 0.6235)
cell therapy manufacturing,['cell therapy manufacturing'],closest match: cell therapeutics (score: 0.6942)
chemical exposure monitoring,['chemical exposure monitoring'],closest match: laboratory environmental monitoring (score: 0.6686)
chemical herbicides,['chemical herbicides'],closest match: biopesticides (score: 0.5821)
chemical pesticides,['chemical pesticides'],closest match: chemical herbicides (score: 0.7675)
chemical reduction,['chemical reduction'],closest match: carbon reduction (score: 0.6641)
chemical regulation compliance,['chemical regulation compliance'],closest match: regulatory compliance (score: 0.7051)
chemical sensing,['chemical sensing'],closest match: biomedical sensing (score: 0.6439)
chemical warfare countermeasures,['chemical warfare countermeasures'],closest match: chemical herbicides (score: 0.5882)
chemical-free algal bloom mitigation,['chemical-free algal bloom mitigation'],closest match: chemical-free water treatment (score: 0.6204)
child growth,['child growth'],closest match: child development (score: 0.6853)
child nutrition programs,['child nutrition programs'],closest match: meal programs (score: 0.6674)
chlorine dioxide,['chlorine dioxide'],closest match: disinfectants (score: 0.4815)
chromatography,['chromatography'],closest match: water chemistry (score: 0.3659)
chronic disease support,['chronic disease support'],closest match: chronic disease (score: 0.7886)
chronic inflammation,"['chronic inflammation', 'chronic inflammation disorders']",closest match: chronic disease (score: 0.7525)
chronic pulmonary diseases,['chronic pulmonary diseases'],closest match: chronic disease (score: 0.7371)
chronic respiratory care,['chronic respiratory care'],closest match: chronic disease management (score: 0.6502)
chronic sinusitis,['chronic sinusitis'],closest match: chronic disease (score: 0.6720)
chronic urticaria,['chronic urticaria'],closest match: chronic disease (score: 0.5430)
chronic wounds,['chronic wounds'],closest match: chronic disease (score: 0.6538)
clean air,['clean air'],closest match: natural air purification (score: 0.7284)
clean energy,"['clean energy', 'clean energy solutions']",closest match: sustainable energy (score: 0.6872)
clean energy access,['clean energy access'],closest match: clean energy (score: 0.7969)
clean heating,['clean heating'],closest match: clean cooking (score: 0.6894)
clean nuclear power,['clean nuclear power'],closest match: clean energy (score: 0.5234)
clean power generation,['clean power generation'],closest match: clean energy (score: 0.7296)
cleaning and hygiene,['cleaning and hygiene'],closest match: water sanitation hygiene (score: 0.6327)
climate adaptive health systems,['climate adaptive health systems'],closest match: climate adaptation (score: 0.6566)
climate change mitigation,"['climate change mitigation', 'climate impact mitigation', 'climate mitigation', 'climate mitigation strategies']",closest match: carbon mitigation (score: 0.7700)
climate commitments,['climate commitments'],closest match: climate action (score: 0.7105)
climate disaster recovery,"['climate disaster recovery', 'climate-related disaster recovery']",closest match: climate resilience (score: 0.6590)
climate emergency response,"['climate emergency response', 'climate emergency technology']",closest match: climate crisis (score: 0.7300)
climate finance,"['climate finance', 'climate financing']",closest match: climate technology (score: 0.7136)
climate governance,['climate governance'],closest match: climate protection (score: 0.7645)
climate hazard analytics,"['climate hazard analytics', 'climate hazard planning', 'climate hazards']",closest match: climate risk (score: 0.7295)
climate health advocacy,"['climate health advocacy', 'climate health initiatives', 'climate health policies']",closest match: climate action (score: 0.7188)
climate health equity,['climate health equity'],closest match: climate health advocacy (score: 0.7711)
climate health monitoring,"['climate health monitoring', 'climate health research', 'climate monitoring']",closest match: climate health advocacy (score: 0.7301)
climate health programs,"['climate health programs', 'climate health solutions']",closest match: climate health advocacy (score: 0.7996)
climate justice,"['climate justice', 'climate justice policy']",closest match: climate health equity (score: 0.7465)
climate modeling,"['climate modeling', 'climate modeling tools']",closest match: climate technology (score: 0.7320)
climate predictions,['climate predictions'],closest match: climate data (score: 0.7481)
climate risk funding,['climate risk funding'],closest match: climate risk (score: 0.7815)
climate sensors,['climate sensors'],closest match: climate health monitoring (score: 0.7222)
climate vulnerability assessment,['climate vulnerability assessment'],closest match: climate risk (score: 0.6937)
climate-friendly living,['climate-friendly living'],closest match: sustainable living (score: 0.6903)
climate-health nexus,['climate-health nexus'],closest match: climate health advocacy (score: 0.7382)
climate-induced health issues,"['climate-induced health issues', 'climate-induced health risks', 'climate-related health risks']",closest match: climate change and health (score: 0.7803)
climate-related,['climate-related'],closest match: climate-related risks (score: 0.8000)
climate-related diseases,['climate-related diseases'],closest match: climate-related disasters (score: 0.7966)
climate-related mortality,['climate-related mortality'],closest match: climate-related (score: 0.7302)
climate-related revenue,['climate-related revenue'],closest match: climate-related (score: 0.7119)
climate-resilient economic systems,['climate-resilient economic systems'],closest match: climate-resilient communities (score: 0.7512)
climate-smart agriculture,"['climate-smart agriculture', 'climate-smart agronomy']",closest match: climate action (score: 0.6649)
climate-smart health solutions,"['climate-smart health solutions', 'climate-smart solutions']",closest match: climate-smart agriculture (score: 0.7353)
climate-smart infrastructure,['climate-smart infrastructure'],closest match: climate-smart agriculture (score: 0.7731)
climate-smart investments,['climate-smart investments'],closest match: climate-smart infrastructure (score: 0.7935)
climate-smart livestock,['climate-smart livestock'],closest match: climate-smart agriculture (score: 0.7901)
climate-smart policies,['climate-smart policies'],closest match: climate-smart investments (score: 0.7763)
clinical decision making,['clinical decision making'],closest match: data-driven decision-making (score: 0.6811)
clinical decision support,['clinical decision support'],closest match: clinical decision making (score: 0.7635)
clinical diagnostics,"['clinical diagnostics', 'clinical disease diagnostics', 'health diagnostics', 'medical diagnostics']",closest match: ai diagnostics (score: 0.7430)
clinical laboratory solutions,['clinical laboratory solutions'],closest match: clinical services (score: 0.5415)
clinical laboratory testing,['clinical laboratory testing'],closest match: clinical laboratory solutions (score: 0.7172)
clinical monitoring,"['clinical monitoring', 'patient monitoring']",closest match: health monitoring (score: 0.7922)
clinical outcomes,"['clinical outcomes', 'patient outcomes']",closest match: clinical studies (score: 0.5754)
clinical safety,['clinical safety'],closest match: safety compliance (score: 0.6576)
clinical sample analysis,['clinical sample analysis'],closest match: clinical research (score: 0.5224)
clinical simulations,['clinical simulations'],closest match: clinical trials (score: 0.5576)
clinical test automation,['clinical test automation'],closest match: automated testing (score: 0.7951)
clinical test kits,['clinical test kits'],closest match: clinical laboratory testing (score: 0.6782)
clinical therapies,['clinical therapies'],closest match: clinical services (score: 0.6094)
clinical workflow optimization,['clinical workflow optimization'],closest match: water system optimization (score: 0.5159)
clinical workload reduction,['clinical workload reduction'],closest match: clinical workflow optimization (score: 0.6826)
clinical-stage biopharmaceuticals,['clinical-stage biopharmaceuticals'],closest match: pharmaceuticals (score: 0.6071)
cognitive behavioral therapy,['cognitive behavioral therapy'],closest match: cognitive training (score: 0.6734)
cognitive support,['cognitive support'],closest match: cognitive training (score: 0.6725)
collagen support,['collagen support'],closest match: nutritional support (score: 0.5454)
colostrum,['colostrum'],closest match: probiotics (score: 0.4409)
community capacity building,['community capacity building'],closest match: capacity building (score: 0.7508)
community care,['community care'],closest match: community health (score: 0.7088)
community disaster planning,['community disaster planning'],closest match: disaster preparedness (score: 0.7767)
community health planning,['community health planning'],closest match: community health (score: 0.7852)
community-based training,['community-based training'],closest match: community-based initiatives (score: 0.6504)
community-led solutions,['community-led solutions'],closest match: community-based initiatives (score: 0.7454)
community-level research,['community-level research'],closest match: community-based participatory research (score: 0.7070)
compound management,['compound management'],closest match: compounded medications (score: 0.5782)
contaminants,['contaminants'],closest match: water contamination (score: 0.5787)
copd,['copd'],closest match: chronic pulmonary diseases (score: 0.6733)
copd monitoring,['copd monitoring'],closest match: copd (score: 0.7575)
covid-19 detection,"['covid-19 detection', 'covid-19 diagnostics']",closest match: infectious disease diagnostics (score: 0.5935)
crop forecasting,['crop forecasting'],closest match: agricultural forecasting (score: 0.7456)
crop health,['crop health'],closest match: crop protection (score: 0.6314)
crop insurance,['crop insurance'],closest match: crop protection (score: 0.6883)
crop intelligence,['crop intelligence'],closest match: crop health (score: 0.7217)
crop management,['crop management'],closest match: crop health (score: 0.7610)
crop scouting,['crop scouting'],closest match: crop intelligence (score: 0.5952)
crop yields,['crop yields'],closest match: crop health (score: 0.6275)
cystic fibrosis,['cystic fibrosis'],closest match: pulmonary fibrosis (score: 0.5101)
data analytics,['data analytics'],closest match: water data analytics (score: 0.6844)
decarbonization,['decarbonization'],closest match: carbon reduction (score: 0.6705)
demand management,['demand management'],closest match: groundwater management (score: 0.5912)
desalination,['desalination'],closest match: water purification (score: 0.6160)
detoxification,['detoxification'],closest match: disinfection (score: 0.5221)
diagnostic accuracy,"['diagnostic accuracy', 'diagnostic sensitivity']",closest match: clinical diagnostics (score: 0.6235)
diagnostic assays,['diagnostic assays'],closest match: clinical diagnostics (score: 0.7156)
diagnostic automation,['diagnostic automation'],closest match: diagnostic assays (score: 0.6789)
diagnostic innovation,['diagnostic innovation'],closest match: diagnostic automation (score: 0.6596)
diagnostic platform,['diagnostic platform'],closest match: diagnostic automation (score: 0.6995)
diagnostic tools,['diagnostic tools'],closest match: diagnostic assays (score: 0.7785)
diagnostic workflows,['diagnostic workflows'],closest match: diagnostic automation (score: 0.6710)
diesel particulate matter,['diesel particulate matter'],closest match: particulate matter (score: 0.7128)
digital agriculture,"['digital agriculture', 'digital farming']",closest match: digital health (score: 0.6541)
digital diagnostics,['digital diagnostics'],closest match: ai diagnostics (score: 0.7693)
digital health ecosystems,['digital health ecosystems'],closest match: digital health (score: 0.7953)
digital phenotyping,['digital phenotyping'],closest match: digital health (score: 0.5326)
digital respiratory health,['digital respiratory health'],closest match: digital health (score: 0.7159)
digital therapeutics,['digital therapeutics'],closest match: digital health (score: 0.7118)
digital transformation,['digital transformation'],closest match: digital agriculture (score: 0.6818)
disaster communication systems,"['disaster communication systems', 'disaster communications']",closest match: disaster response (score: 0.6679)
disaster coordination,['disaster coordination'],closest match: disaster management (score: 0.7901)
disaster drills,['disaster drills'],closest match: disaster preparedness training (score: 0.7510)
disaster impact analysis,['disaster impact analysis'],closest match: disaster risk (score: 0.6878)
disaster lifecycle,['disaster lifecycle'],closest match: disaster risk (score: 0.6861)
disaster mitigation,"['disaster mitigation', 'natural disaster mitigation']",closest match: hazard mitigation (score: 0.7828)
disaster recovery,"['disaster recovery', 'disaster recovery funding', 'disaster recovery operations', 'disaster recovery planning']",closest match: disaster response (score: 0.7086)
disaster response platforms,"['disaster response platforms', 'emergency response platforms']",closest match: disaster response (score: 0.7707)
disaster response technology,['disaster response technology'],closest match: disaster response (score: 0.7833)
disaster simulation tools,"['disaster simulation tools', 'disaster simulations']",closest match: disaster drills (score: 0.6586)
disaster supplies,['disaster supplies'],closest match: disaster relief (score: 0.7235)
disease biomarker,"['disease biomarker', 'disease biomarker detection', 'disease biomarker quantification']",closest match: biomarkers (score: 0.7440)
disease monitoring,['disease monitoring'],closest match: health monitoring (score: 0.7856)
disease outbreak analytics,['disease outbreak analytics'],closest match: disease outbreaks (score: 0.7101)
disease outbreak control,"['disease outbreak control', 'disease outbreak prevention', 'disease outbreak response']",closest match: disease outbreaks (score: 0.7592)
disease risk assessment,['disease risk assessment'],closest match: environmental risk assessments (score: 0.6490)
disease surveillance,['disease surveillance'],closest match: disease monitoring (score: 0.7991)
disinfectant application,['disinfectant application'],closest match: disinfecting (score: 0.7311)
disinfection efficacy,['disinfection efficacy'],closest match: disinfection (score: 0.7442)
dna-based therapeutics,['dna-based therapeutics'],closest match: cell therapeutics (score: 0.6714)
drought,['drought'],closest match: drought management (score: 0.7206)
drought monitoring,['drought monitoring'],closest match: drought management (score: 0.7588)
drought resilience,['drought resilience'],closest match: drought management (score: 0.7492)
drug resistance,['drug resistance'],closest match: drug-resistant bacteria (score: 0.7535)
dry powder nebulizer,['dry powder nebulizer'],closest match: personalized nasal spray (score: 0.4948)
early disease detection,"['early disease detection', 'early disease diagnosis']",closest match: disease monitoring (score: 0.6111)
early infection detection,['early infection detection'],closest match: early disease detection (score: 0.7436)
early warning systems,['early warning systems'],closest match: alarm systems (score: 0.5632)
earthquake early warning,['earthquake early warning'],closest match: early warning systems (score: 0.6365)
earthquakes,['earthquakes'],closest match: earthquake early warning (score: 0.6165)
ecg monitoring,['ecg monitoring'],closest match: cardiopulmonary monitoring (score: 0.6648)
ecological regeneration,"['ecological regeneration', 'ecosystem regeneration']",closest match: ecosystem restoration (score: 0.7408)
economic development,['economic development'],closest match: sustainable economy (score: 0.5649)
ecosystem accounting,['ecosystem accounting'],closest match: ecosystem restoration (score: 0.6531)
ecosystem assessment,['ecosystem assessment'],closest match: ecosystem accounting (score: 0.7765)
ecosystem health,['ecosystem health'],closest match: ecosystem assessment (score: 0.7533)
ecosystem services,['ecosystem services'],closest match: ecosystem health (score: 0.7061)
ecosystem services valuation,['ecosystem services valuation'],closest match: ecosystem services (score: 0.7914)
eczema,['eczema'],closest match: skin diseases (score: 0.5049)
effects of climate change,['effects of climate change'],closest match: climate change impacts (score: 0.7723)
electrification,['electrification'],closest match: building electrification (score: 0.7802)
electrification planning,['electrification planning'],closest match: electrification (score: 0.7844)
electrochemical sensing,['electrochemical sensing'],closest match: chemical sensing (score: 0.7352)
electrochemical systems,['electrochemical systems'],closest match: electrochemical sensing (score: 0.7073)
electrochemical water treatment,['electrochemical water treatment'],closest match: chemical-free water treatment (score: 0.7046)
emergency aid,['emergency aid'],closest match: emergency medical relief (score: 0.6634)
emergency alert systems,['emergency alert systems'],closest match: alarm systems (score: 0.7173)
emergency analytics,['emergency analytics'],closest match: emergency alert systems (score: 0.6331)
emergency communication,"['emergency communication', 'emergency health communication']",closest match: emergency response (score: 0.6836)
emergency crisis management,"['emergency crisis management', 'emergency management', 'health emergency management']",closest match: emergency response (score: 0.7176)
emergency dispatch,"['emergency dispatch', 'emergency medical dispatch', 'health emergency dispatch']",closest match: emergency response (score: 0.7036)
emergency evacuation,"['emergency evacuation', 'emergency evacuation planning']",closest match: emergency operations (score: 0.6482)
emergency first aid,['emergency first aid'],closest match: emergency medical (score: 0.7469)
emergency guides,['emergency guides'],closest match: who guidelines (score: 0.5826)
emergency health kits,"['emergency health kits', 'health emergency kits']",closest match: emergency medical supplies (score: 0.7644)
emergency health solutions,"['emergency health solutions', 'health emergency solutions']",closest match: emergency medical services (score: 0.7788)
emergency logistics,['emergency logistics'],closest match: emergency operations (score: 0.6448)
emergency medical technology,['emergency medical technology'],closest match: emergency medical (score: 0.7737)
emergency medicine,['emergency medicine'],closest match: emergency medical (score: 0.7976)
emergency sanitation,['emergency sanitation'],closest match: water sanitation (score: 0.7132)
emergency supplies planning,['emergency supplies planning'],closest match: emergency medical supplies (score: 0.7577)
emergency supply chain,['emergency supply chain'],closest match: emergency supplies planning (score: 0.7397)
emergency water,['emergency water'],closest match: water supply (score: 0.6544)
emission-certified engines,['emission-certified engines'],closest match: emissions reduction (score: 0.5901)
emissions control,['emissions control'],closest match: emissions reduction (score: 0.7947)
emissions monitoring,['emissions monitoring'],closest match: emissions control (score: 0.7382)
emotional recognition,['emotional recognition'],closest match: emotional regulation (score: 0.6309)
emotional resilience,['emotional resilience'],closest match: emotional wellness (score: 0.7662)
emphysema,['emphysema'],closest match: pulmonary fibrosis (score: 0.5943)
energy access,['energy access'],closest match: clean energy access (score: 0.7534)
energy analytics,['energy analytics'],closest match: energy management (score: 0.7346)
energy conservation,"['energy conservation', 'energy conservation programs']",closest match: energy efficiency (score: 0.7292)
energy demand forecasting,['energy demand forecasting'],closest match: energy consumption (score: 0.6459)
energy demand management,['energy demand management'],closest match: energy demand forecasting (score: 0.7837)
energy grid resilience,['energy grid resilience'],closest match: energy resilience (score: 0.7949)
energy intelligence,['energy intelligence'],closest match: energy management (score: 0.6867)
energy markets,['energy markets'],closest match: energy services (score: 0.7050)
energy monitoring,['energy monitoring'],closest match: energy management (score: 0.7438)
energy optimization,['energy optimization'],closest match: energy savings (score: 0.7678)
energy retrofit,['energy retrofit'],closest match: energy savings (score: 0.7057)
energy risk management,['energy risk management'],closest match: water risk management (score: 0.6741)
energy savings water systems,['energy savings water systems'],closest match: energy savings (score: 0.7831)
energy trading,['energy trading'],closest match: energy markets (score: 0.7582)
energy transition,['energy transition'],closest match: energy access (score: 0.6636)
energy-efficient cooling,['energy-efficient cooling'],closest match: energy-efficient heating (score: 0.7794)
energy-efficient insulation,['energy-efficient insulation'],closest match: energy-efficient housing (score: 0.7722)
energy-efficient upgrades,['energy-efficient upgrades'],closest match: energy-efficient technologies (score: 0.7961)
environmental,['environmental'],closest match: environmental safety (score: 0.7475)
environmental accountability,['environmental accountability'],closest match: environmental stewardship (score: 0.7088)
environmental analytics,['environmental analytics'],closest match: environmental monitoring (score: 0.6807)
environmental assets,['environmental assets'],closest match: environmental (score: 0.6638)
environmental changes,['environmental changes'],closest match: environmental challenges (score: 0.7539)
environmental contaminants,"['environmental contaminants', 'environmental contamination']",closest match: contaminants (score: 0.7437)
environmental credits,['environmental credits'],closest match: biodiversity credits (score: 0.6854)
environmental data,"['environmental data', 'environmental health data', 'environmental risk data']",closest match: environmental (score: 0.7350)
environmental data platforms,['environmental data platforms'],closest match: environmental data (score: 0.7870)
environmental decision-making,['environmental decision-making'],closest match: clinical decision making (score: 0.6955)
environmental diagnostics,"['environmental diagnostics', 'environmental health diagnostics']",closest match: environmental monitoring (score: 0.7270)
environmental economics,['environmental economics'],closest match: environmental sustainability (score: 0.7038)
environmental education,"['environmental education', 'environmental health education', 'environmental sustainability education']",closest match: environmental conservation (score: 0.7114)
environmental exposure,"['environmental exposure', 'environmental exposure assessment', 'environmental exposure effects']",closest match: environmental contaminants (score: 0.7427)
environmental germ monitoring,['environmental germ monitoring'],closest match: environmental monitoring (score: 0.7725)
environmental goals,"['environmental goals', 'environmental sustainability goals']",closest match: environmental sustainability (score: 0.6969)
environmental hazard prediction,['environmental hazard prediction'],closest match: climate hazard analytics (score: 0.6221)
environmental hazards,"['environmental hazards', 'environmental health risks', 'environmental risk', 'environmental risks']",closest match: environmental contaminants (score: 0.7522)
environmental health analysis,"['environmental health analysis', 'environmental health assessment']",closest match: environmental health (score: 0.7966)
environmental health benefits,['environmental health benefits'],closest match: environmental health (score: 0.7780)
environmental health coalition,"['environmental health coalition', 'environmental health collaborations']",closest match: environmental health advocacy (score: 0.7654)
environmental health grants,['environmental health grants'],closest match: environmental health (score: 0.7707)
environmental health impact,"['environmental health impact', 'environmental impact']",closest match: environmental health (score: 0.7892)
environmental health mitigation,['environmental health mitigation'],closest match: environmental health impact (score: 0.7363)
environmental health promotion,"['environmental health promotion', 'environmental health promotion programs']",closest match: environmental health advocacy (score: 0.7994)
